scene,floor,question,choices,question_formatted,answer,label,source_image,target_objects,contextual_descriptions,enriched_question
00785-AdNTcRg3THp,0,Is the window larger than the door in the room?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the window larger than the door in the room? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00785-AdNTcRg3THp_1.png,"[""window"", ""door""]","{""window"": ""the rectangular glass window on the wall near the floor"", ""door"": ""the gray door next to the white cabinets""}",Is the rectangular glass window on the wall near the floor larger than the gray door next to the white cabinets in the room?
00672-4L4peQsMgfR,0,Does the cabinet have more shelves than the refrigerator?,"['Yes', 'No', 'They have the same number of shelves', 'The cabinet has fewer shelves']",Does the cabinet have more shelves than the refrigerator? A) Yes B) No C) They have the same number of shelves D) The cabinet has fewer shelves. Answer:,A,Comparison,00672-4L4peQsMgfR_1.png,"[""cabinet"", ""shelves"", ""refrigerator""]","{""cabinet"": ""the brown wooden cabinet next to the staircase"", ""shelves"": ""the dark wooden shelves mounted on the wall above the countertop"", ""refrigerator"": ""the silver refrigerator in front of the door""}",Does the brown wooden cabinet next to the staircase have more the dark wooden shelves mounted on the wall above the countertop than the silver refrigerator in front of the door?
00214-WeyCwVzL53K,0,Is the window in the bathroom bigger than the window in the bedroom?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the window in the bathroom bigger than the window in the bedroom? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,B,Comparison,00214-WeyCwVzL53K_0.png,"[""window"", ""window""]","{""window"": ""the rectangular glass window above the bathtub""}",Is the rectangular glass window above the bathtub in the bathroom bigger than the rectangular glass window above the bathtub in the bedroom?
00695-BJovXQkqbC3,0,Is the grandfather clock the same color as the sofa in the living room?,"['Yes', 'No', 'Partially', 'Cannot determine']",Is the grandfather clock the same color as the sofa in the living room? A) Yes B) No C) Partially D) Cannot determine. Answer:,B,Comparison,00695-BJovXQkqbC3_0.png,"[""grandfather clock"", ""sofa""]","{""grandfather clock"": ""the brown wooden grandfather clock next to the large window"", ""sofa"": ""the red velvet sofa facing the coffee table""}",Is the brown wooden grandfather clock next to the large window the same color as the red velvet sofa facing the coffee table in the living room?
00167-yogvKWUrdnw,0,Is the shelf closer to a window than the table in the house?,"['Yes', 'No', 'They are equidistant', 'Cannot determine']",Is the shelf closer to a window than the table in the house? A) Yes B) No C) They are equidistant D) Cannot determine. Answer:,A,Comparison,00167-yogvKWUrdnw_1.png,"[""shelf"", ""window"", ""table""]","{""shelf"": ""the wooden shelf with visible items inside next to the window"", ""window"": ""the large window with white blinds above the kitchen sink"", ""table"": ""the dark wooden table in the center of the dining area""}",Is the wooden shelf with visible items inside next to the window closer to a the large window with white blinds above the kitchen sink than the dark wooden table in the center of the dining area in the house?
00185-NjyeoK5BLx3,0,Does the door share the same color as the wall in the room?,"['Yes', 'No', 'They are similar', 'The colors are contrasting']",Does the door share the same color as the wall in the room? A) Yes B) No C) They are similar D) The colors are contrasting. Answer:,A,Attribute,00185-NjyeoK5BLx3_1.png,"[""door"", ""wall""]","{""door"": ""the white wooden door next to the wall"", ""wall"": ""the smooth white wall next to the door""}",Does the white wooden door next to the wall share the same color as the smooth white wall next to the door in the room?
00819-6D36GQHuP8H,0,Is the sofa closer to the entrance than the fireplace in the house?,"['Yes', 'No', 'They are equidistant', 'Not visible']",Is the sofa closer to the entrance than the fireplace in the house? A) Yes B) No C) They are equidistant D) Not visible. Answer:,A,Relationship,00819-6D36GQHuP8H_1.png,"[""sofa"", ""entrance"", ""fireplace""]","{""sofa"": ""the gray sofa against the far wall in front of the window"", ""entrance"": ""the white door framed entrance next to the wall"", ""fireplace"": ""the brick fireplace below the wooden mantel in the living area""}",Is the gray sofa against the far wall in front of the window closer to the white door framed entrance next to the wall than the brick fireplace below the wooden mantel in the living area in the house?
00348-37c5w29pYm3,0,Is the piano closer to a window than the kitchen island?,"['Yes', 'No', 'Both are equidistant', 'Cannot determine']",Is the piano closer to a window than the kitchen island? A) Yes B) No C) Both are equidistant D) Cannot determine. Answer:,A,Relationship,00348-37c5w29pYm3_0.png,"[""piano"", ""window"", ""kitchen island""]","{""piano"": ""the black piano against the far wall next to the window"", ""window"": ""the large window with a view of flowers and greenery in front of the piano"", ""kitchen island"": ""the sleek gray kitchen island in the center of the kitchen""}",Is the black piano against the far wall next to the window closer to a the large window with a view of flowers and greenery in front of the piano than the sleek gray kitchen island in the center of the kitchen?
00516-ytXtEYghmvL,0,Does the ceiling fan provide more direct lighting than the lamp in the house?,"['Yes', 'No', 'They provide equal lighting', 'It depends on the time of day']",Does the ceiling fan provide more direct lighting than the lamp in the house? A) Yes B) No C) They provide equal lighting D) It depends on the time of day. Answer:,B,Comparison,00516-ytXtEYghmvL_0.png,"[""ceiling fan"", ""lamp""]","{""ceiling fan"": ""the wooden ceiling fan above the living room area"", ""lamp"": ""the beige lamp next to the sofa""}",Does the wooden ceiling fan above the living room area provide more direct lighting than the beige lamp next to the sofa in the house?
00126-dioA6agn1cP,0,Is the TV closer to the window in the bedroom or the living room?,"['Bedroom', 'Living room', 'Both are equidistant', 'Cannot determine']",Is the TV closer to the window in the bedroom or the living room? A) Bedroom B) Living room C) Both are equidistant D) Cannot determine. Answer:,A,Relationship,00126-dioA6agn1cP_0.png,"[""TV"", ""window"", ""bedroom"", ""living room""]","{""tv"": ""the black flat-screen TV mounted above the entertainment unit in the living room"", ""window"": ""the large rectangular window with sheer curtains above the dresser in the bedroom"", ""bedroom"": ""the softly decorated bedroom with a blue accent wall in front of the doorway"", ""living room"": ""the bright living room with large windows overlooking the garden adjacent to the entrance""}",Is the black flat-screen TV mounted above the entertainment unit in the living room closer to the large rectangular window with sheer curtains above the dresser in the bedroom in the softly decorated bedroom with a blue accent wall in front of the doorway or the bright living room with large windows overlooking the garden adjacent to the entrance?
00229-cHumXFzhHUR,0,Is the staircase in the room closer to the tables than the entrance?,"['Yes', 'No', 'They are equally distant', 'Not enough information']",Is the staircase in the room closer to the tables than the entrance? A) Yes B) No C) They are equally distant D) Not enough information. Answer:,A,Relationship,00229-cHumXFzhHUR_0.png,"[""staircase"", ""tables"", ""entrance""]","{""staircase"": ""the curved wooden staircase leading to the upper floor"", ""tables"": ""the round wooden tables scattered throughout the dining area"", ""entrance"": ""the dark wooden door at the end of the hallway""}",Is the curved wooden staircase leading to the upper floor in the room closer to the round wooden tables scattered throughout the dining area than the dark wooden door at the end of the hallway?
00078-nJTPfwbAj4S,0,Is the bed closer to the lamp in the bedroom than the mirror in the hallway is to the lamp in the hallway?,"['Yes', 'No', 'They are equally distant', 'Not enough information']",Is the bed closer to the lamp in the bedroom than the mirror in the hallway is to the lamp in the hallway? A) Yes B) No C) They are equally distant D) Not enough information. Answer:,A,Relationship,00078-nJTPfwbAj4S_0.png,"[""bed"", ""lamp"", ""mirror""]","{""bed"": ""the blue upholstered bed in the adjacent room behind the wall"", ""lamp"": ""the table lamp with a beige shade on the dark dresser"", ""mirror"": ""the rectangular mirror above the dark console table in the hallway""}",Is the blue upholstered bed in the adjacent room behind the wall closer to the table lamp with a beige shade on the dark dresser in the bedroom than the rectangular mirror above the dark console table in the hallway in the hallway is to the table lamp with a beige shade on the dark dresser in the hallway?
00226-8mXffaQTtmP,0,Are the curtains closer to the sofa in the living room compared to the dining room?,"['Yes', 'No', 'Both are equidistant', 'Not applicable']",Are the curtains closer to the sofa in the living room compared to the dining room? A) Yes B) No C) Both are equidistant D) Not applicable. Answer:,A,Relationship,00226-8mXffaQTtmP_1.png,"[""curtains"", ""sofa"", ""dining room""]","{""curtains"": ""the white sheer curtains next to the large windows"", ""sofa"": ""the brown leather sofa in the center of the living room, facing the dining room"", ""dining room"": ""the elegant dining room visible through the archway in front of the sofa""}","Are the white sheer curtains next to the large windows closer to the brown leather sofa in the center of the living room, facing the dining room in the living room compared to the elegant dining room visible through the archway in front of the sofa?"
00237-BW1f54ZNVW6,0,Does the painting share the same room as the flower vase?,"['Yes', 'No', 'Not sure', 'None of the above']",Does the painting share the same room as the flower vase? A) Yes B) No C) Not sure D) None of the above. Answer:,A,Relationship,00237-BW1f54ZNVW6_0.png,"[""painting"", ""flower vase""]","{""painting"": ""the colorful abstract painting hanging on the wall next to the doorway"", ""flower vase"": ""the white ceramic flower vase on a small table next to the wall""}",Does the colorful abstract painting hanging on the wall next to the doorway share the same room as the white ceramic flower vase on a small table next to the wall?
00631-v3tsKAPVLJS,0,Is the couch in the living room closer to the window than the bed in the bedroom?,"['Yes', 'No', 'Both are equidistant', 'Cannot determine']",Is the couch in the living room closer to the window than the bed in the bedroom? A) Yes B) No C) Both are equidistant D) Cannot determine. Answer:,A,Comparison,00631-v3tsKAPVLJS_1.png,"[""couch"", ""window"", ""bed""]","{""couch"": ""the brown fabric couch against the wall near the red carpet"", ""window"": ""the rectangular window with beige curtains above the bed"", ""bed"": ""the black metal bed frame with a white mattress in front of the window""}",Is the brown fabric couch against the wall near the red carpet in the living room closer to the rectangular window with beige curtains above the bed than the black metal bed frame with a white mattress in front of the window in the bedroom?
00562-kCHmLFfMDuE,0,Is the clothing rack larger than the dresser in the space?,"['Yes', 'No', 'Same size', 'Cannot determine']",Is the clothing rack larger than the dresser in the space? A) Yes B) No C) Same size D) Cannot determine. Answer:,A,Comparison,00562-kCHmLFfMDuE_1.png,"[""clothing rack"", ""dresser""]","{""clothing rack"": ""the wooden clothing rack filled with colorful clothes against the wall"", ""dresser"": ""the white wooden dresser in front of the wall featuring a stack of books and photos""}",Is the wooden clothing rack filled with colorful clothes against the wall larger than the white wooden dresser in front of the wall featuring a stack of books and photos in the space?
00064-gQgtJ9Stk5s,0,Is the piano bigger than the refrigerator in the house?,"['Yes', 'No', 'Same size', 'Cannot Determine']",Is the piano bigger than the refrigerator in the house? A) Yes B) No C) Same size D) Cannot Determine. Answer:,B,Comparison,00064-gQgtJ9Stk5s_0.png,"[""piano"", ""refrigerator""]","{""piano"": ""the black grand piano in the living area next to the wall"", ""refrigerator"": ""the silver refrigerator against the wall in the kitchen""}",Is the black grand piano in the living area next to the wall bigger than the silver refrigerator against the wall in the kitchen in the house?
00124-GZRLndzSrdn,0,Does the garage door share the same color as the red wall in the living room?,"['Yes', 'No', 'Partially', 'Cannot determine']",Does the garage door share the same color as the red wall in the living room? A) Yes B) No C) Partially D) Cannot determine. Answer:,B,Comparison,00124-GZRLndzSrdn_1.png,"[""garage door"", ""red wall""]","{""garage door"": ""the gray metal garage door next to the beige wall"", ""red wall"": ""the vibrant red wall in front of the living area""}",Does the gray metal garage door next to the beige wall share the same color as the vibrant red wall in front of the living area in the living room?
00394-H7bBanejcc6,0,Is the chair closer to the dining table than the sofa is to the coffee table in this house?,"['Yes', 'No', 'They are equidistant', 'Cannot be determined']",Is the chair closer to the dining table than the sofa is to the coffee table in this house? A) Yes B) No C) They are equidistant D) Cannot be determined. Answer:,B,Relationship,00394-H7bBanejcc6_0.png,"[""chair"", ""dining table"", ""sofa"", ""coffee table""]","{""chair"": ""the gray upholstered chair in front of the wooden coffee table"", ""dining table"": ""dining table"", ""sofa"": ""the gray sofa against the wall next to a lamp"", ""coffee table"": ""coffee table""}",Is the gray upholstered chair in front of the wooden coffee table closer to the dining table than the gray sofa against the wall next to a lamp is to the coffee table in this house?
00245-741Fdj7NLF9,0,Is the sofa farther from the TV than the kitchen counter in the living room?,"['Yes', 'No', 'They are equidistant', 'Cannot determine']",Is the sofa farther from the TV than the kitchen counter in the living room? A) Yes B) No C) They are equidistant D) Cannot determine. Answer:,A,Relationship,00245-741Fdj7NLF9_0.png,"[""sofa"", ""TV"", ""kitchen counter""]","{""sofa"": ""the gray fabric sofa in front of the wall-mounted TV"", ""tv"": ""the flat-screen TV mounted on the wall above the brown wooden console"", ""kitchen counter"": ""the wooden kitchen counter next to the stainless steel refrigerator""}",Is the gray fabric sofa in front of the wall-mounted TV farther from the flat-screen TV mounted on the wall above the brown wooden console than the wooden kitchen counter next to the stainless steel refrigerator in the living room?
00224-8m2Sk2sC3DR,0,Is the bookshelf located closer to the bedroom or the living room?,"['Bedroom', 'Living room', 'Equidistant', 'Not visible']",Is the bookshelf located closer to the bedroom or the living room? A) Bedroom B) Living room C) Equidistant D) Not visible. Answer:,A,Relationship,00224-8m2Sk2sC3DR_1.png,"[""bookshelf"", ""bedroom"", ""living room""]","{""bookshelf"": ""the wooden bookshelf adjacent to the hallway"", ""bedroom"": ""the softly colored bedroom with a bed in front of the patterned rug"", ""living room"": ""the spacious living room with a beige sofa in front of the television""}",Is the wooden bookshelf adjacent to the hallway located closer to the softly colored bedroom with a bed in front of the patterned rug or the spacious living room with a beige sofa in front of the television?
00021-yQESfVcg18k,0,Is the sink closer to the bed than to the garage?,"['Yes', 'No', 'They are equidistant', 'Distance cannot be determined']",Is the sink closer to the bed than to the garage? A) Yes B) No C) They are equidistant D) Distance cannot be determined. Answer:,A,Relationship,00021-yQESfVcg18k_0.png,"[""sink"", ""bed"", ""garage""]","{""sink"": ""the stainless steel sink next to the wall in the laundry room"", ""bed"": ""the gray upholstered bed in the center of the bedroom"", ""garage"": ""the empty garage with a concrete floor and white cabinets along the wall""}",Is the stainless steel sink next to the wall in the laundry room closer to the gray upholstered bed in the center of the bedroom than to the empty garage with a concrete floor and white cabinets along the wall?
00303-ghWQ5kHV97i,0,Is the material of the table the same as the material of the wooden cabinet in the house?,"['Yes', 'No', 'Partially', 'Cannot be determined']",Is the material of the table the same as the material of the wooden cabinet in the house? A) Yes B) No C) Partially D) Cannot be determined. Answer:,A,Comparison,00303-ghWQ5kHV97i_0.png,"[""table"", ""wooden cabinet""]","{""table"": ""the round wooden table in the center of the dining area"", ""wooden cabinet"": ""the light brown wooden cabinet against the wall""}",Is the material of the round wooden table in the center of the dining area the same as the material of the light brown wooden cabinet against the wall in the house?
00457-7PZPFHR3oJc,0,Does the kitchen cabinet share the same color as the sofa?,"['Yes', 'No', 'Partially', 'Cannot determine']",Does the kitchen cabinet share the same color as the sofa? A) Yes B) No C) Partially D) Cannot determine. Answer:,B,Attribute,00457-7PZPFHR3oJc_0.png,"[""kitchen cabinet"", ""sofa""]","{""kitchen cabinet"": ""the white wooden kitchen cabinet next to the stove"", ""sofa"": ""the dark gray fabric sofa against the living room wall""}",Does the white wooden kitchen cabinet next to the stove share the same color as the dark gray fabric sofa against the living room wall?
00192-MLVm7dZk7dp,0,Are the red lampshade and the pipes in the same room?,"['Yes', 'No', 'Unsure', 'Partially']",Are the red lampshade and the pipes in the same room? A) Yes B) No C) Unsure D) Partially. Answer:,B,Relationship,00192-MLVm7dZk7dp_0.png,"[""red lampshade"", ""pipes""]","{""red lampshade"": ""the bright red fabric lampshade hanging above the white table"", ""pipes"": ""the yellow metallic pipes mounted on the wall near the window""}",Are the bright red fabric lampshade hanging above the white table and the yellow metallic pipes mounted on the wall near the window in the same room?
00761-s7kPJndncRy,0,Is the refrigerator taller than the cabinet in the kitchen?,"['Yes', 'No', 'They are the same height', 'Not visible']",Is the refrigerator taller than the cabinet in the kitchen? A) Yes B) No C) They are the same height D) Not visible. Answer:,A,Comparison,00761-s7kPJndncRy_0.png,"[""refrigerator"", ""cabinet""]","{""refrigerator"": ""the stainless steel refrigerator in the kitchen"", ""cabinet"": ""the wooden cabinet next to the refrigerator""}",Is the stainless steel refrigerator in the kitchen taller than the wooden cabinet next to the refrigerator in the kitchen?
00746-RTV2n6fXB2w,0,Is the table closer to the window than the cabinet in the room?,"['Yes', 'No', 'Same distance', 'Cannot be determined']",Is the table closer to the window than the cabinet in the room? A) Yes B) No C) Same distance D) Cannot be determined. Answer:,A,Relationship,00746-RTV2n6fXB2w_0.png,"[""table"", ""window"", ""cabinet""]","{""table"": ""the round wooden table with a light blue tablecloth in the center of the room"", ""window"": ""the large window with sheer curtains above the table"", ""cabinet"": ""the wooden cabinet with glass doors in front of the wall with patterned wallpaper""}",Is the round wooden table with a light blue tablecloth in the center of the room closer to the large window with sheer curtains above the table than the wooden cabinet with glass doors in front of the wall with patterned wallpaper in the room?
00499-q6tn1ZjSsG4,0,Is the bed bigger than the paintings in the bedroom?,"['Yes', 'No', 'The same size', 'Cannot be determined']",Is the bed bigger than the paintings in the bedroom? A) Yes B) No C) The same size D) Cannot be determined. Answer:,A,Comparison,00499-q6tn1ZjSsG4_1.png,"[""bed"", ""paintings""]","{""bed"": ""the white bed with a wooden headboard in front of the wall"", ""paintings"": ""the colorful paintings on the wall next to the bed""}",Is the white bed with a wooden headboard in front of the wall bigger than the colorful paintings on the wall next to the bed in the bedroom?
00810-CrMo8WxCyVb,0,Is the kitchen larger than the dining room?,"['Yes', 'No', 'Same size', 'Unknown']",Is the kitchen larger than the dining room? A) Yes B) No C) Same size D) Unknown. Answer:,A,Comparison,00810-CrMo8WxCyVb_0.png,[],,
00581-WpVxtsP4xxA,0,Does the light switch share the same wall color as the wall near the tap?,"['Yes', 'No', 'Cannot determine', 'Both are on blue walls']",Does the light switch share the same wall color as the wall near the tap? A) Yes B) No C) Cannot determine D) Both are on blue walls. Answer:,A,Comparison,00581-WpVxtsP4xxA_1.png,"[""light switch"", ""wall color"", ""wall"", ""tap""]","{""light switch"": ""the white plastic light switch on the wall next to the doorway"", ""wall color"": ""the pale gray wall color surrounding the room"", ""wall"": ""the textured gray wall behind the light switch"", ""tap"": ""tap""}",Does the white plastic light switch on the wall next to the doorway share the same the pale gray wall color surrounding the room as the textured gray wall behind the light switch near the tap?
00466-xAHnY3QzFUN,0,Does the wooden door have the same color as the brick wall?,"['Yes', 'No', 'Cannot be determined', 'They have similar colors']",Does the wooden door have the same color as the brick wall? A) Yes B) No C) Cannot be determined D) They have similar colors. Answer:,B,Comparison,00466-xAHnY3QzFUN_0.png,"[""wooden door"", ""brick wall""]","{""wooden door"": ""the dark brown wooden door in front of the wall"", ""brick wall"": ""the light brown textured brick wall next to the sliding glass door""}",Does the dark brown wooden door in front of the wall have the same color as the light brown textured brick wall next to the sliding glass door?
00539-zUG6FL9TYeR,0,Is the door closer to the table in the dining room or the living room?,"['Dining room', 'Living room', 'They are equidistant', 'Cannot determine']",Is the door closer to the table in the dining room or the living room? A) Dining room B) Living room C) They are equidistant D) Cannot determine. Answer:,B,Relationship,00539-zUG6FL9TYeR_0.png,"[""door"", ""table""]","{""door"": ""the white wooden door on the left wall"", ""table"": ""the wooden table next to the sofa""}",Is the white wooden door on the left wall closer to the wooden table next to the sofa in the dining room or the living room?
00831-yr17PDCnDDW,0,Is the fire extinguisher closer to the ground than the bottom of the whiteboard in the room?,"['Yes', 'No', 'The fire extinguisher and the whiteboard are at the same height', 'The whiteboard is closer to the ground']",Is the fire extinguisher closer to the ground than the bottom of the whiteboard in the room? A) Yes B) No C) The fire extinguisher and the whiteboard are at the same height D) The whiteboard is closer to the ground. Answer:,A,Comparison,00831-yr17PDCnDDW_0.png,"[""fire extinguisher"", ""ground"", ""bottom of the whiteboard""]","{""fire extinguisher"": ""the red fire extinguisher on the wall next to the double doors"", ""ground"": ""the wooden floor under the table"", ""bottom of the whiteboard"": ""the lower edge of the glass whiteboard above the wooden floor""}",Is the red fire extinguisher on the wall next to the double doors closer to the wooden floor under the table than the lower edge of the glass whiteboard above the wooden floor in the room?
00772-zJ3fVx3BZYR,0,Are the ladder and boxes in the same room?,"['Yes', 'No', 'Cannot determine', 'The image is unclear']",Are the ladder and boxes in the same room? A) Yes B) No C) Cannot determine D) The image is unclear. Answer:,A,Relationship,00772-zJ3fVx3BZYR_0.png,"[""ladder"", ""boxes""]","{""ladder"": ""the metallic ladder leaning against the wall near the boxes"", ""boxes"": ""the brown cardboard boxes stacked against the wall next to the glass door""}",Are the metallic ladder leaning against the wall near the boxes and the brown cardboard boxes stacked against the wall next to the glass door in the same room?
00267-gQ3xxshDiCz,0,Is the door closer to the viewer than the television in the same room?,"['Yes', 'No', 'They are equidistant', 'Unable to determine']",Is the door closer to the viewer than the television in the same room? A) Yes B) No C) They are equidistant D) Unable to determine. Answer:,A,Relationship,00267-gQ3xxshDiCz_1.png,"[""door"", ""television""]","{""door"": ""the white wooden door next to the mirror"", ""television"": ""the black flat-screen television against the wall near the doorway""}",Is the white wooden door next to the mirror closer to the viewer than the black flat-screen television against the wall near the doorway in the same room?
00809-Qpor2mEya8F,0,Is the bed closer to windows than the fireplace is to windows in the house?,"['Yes', 'No', 'Both are equally close', 'Cannot determine']",Is the bed closer to windows than the fireplace is to windows in the house? A) Yes B) No C) Both are equally close D) Cannot determine. Answer:,A,Comparison,00809-Qpor2mEya8F_1.png,"[""bed"", ""windows"", ""fireplace""]","{""bed"": ""the beige upholstered bed next to the window"", ""windows"": ""the large white-framed windows above the bed"", ""fireplace"": ""the black stone fireplace in front of the seating area""}",Is the beige upholstered bed next to the window closer to the large white-framed windows above the bed than the black stone fireplace in front of the seating area is to the large white-framed windows above the bed in the house?
00504-frThKkhTwFT,0,Is the circular window closer to the ground than the bathtub is in the house?,"['Yes', 'No', ""Can't tell"", 'Both are at the same level']",Is the circular window closer to the ground than the bathtub is in the house? A) Yes B) No C) Can't tell D) Both are at the same level. Answer:,B,Comparison,00504-frThKkhTwFT_1.png,"[""circular window"", ""ground"", ""bathtub""]","{""circular window"": ""the circular wooden window on the wall next to the brown horizontal blinds"", ""ground"": ""the tiled ground under the wooden stairs"", ""bathtub"": ""the white ceramic bathtub in front of the wall with decorative relief""}",Is the circular wooden window on the wall next to the brown horizontal blinds closer to the tiled ground under the wooden stairs than the white ceramic bathtub in front of the wall with decorative relief is in the house?
00887-hyFzGGJCSYs,0,Is the sofa closer to the radiator than the bookshelf in the living room?,"['Yes', 'No', 'Both are equally close', 'Cannot determine']",Is the sofa closer to the radiator than the bookshelf in the living room? A) Yes B) No C) Both are equally close D) Cannot determine. Answer:,A,Relationship,00887-hyFzGGJCSYs_1.png,"[""sofa"", ""radiator"", ""bookshelf""]","{""sofa"": ""the blue leather sofa against the wall in front of the television"", ""radiator"": ""the white metal radiator next to the bookshelf"", ""bookshelf"": ""the white shelf unit on the wall above the sofa""}",Is the blue leather sofa against the wall in front of the television closer to the white metal radiator next to the bookshelf than the white shelf unit on the wall above the sofa in the living room?
00312-UrFKpVJpvHi,0,Does the TV share the same size as the mirror?,"['Yes', 'No', 'They are similar', 'Cannot be determined']",Does the TV share the same size as the mirror? A) Yes B) No C) They are similar D) Cannot be determined. Answer:,B,Comparison,00312-UrFKpVJpvHi_0.png,"[""TV"", ""mirror""]","{""tv"": ""the black television on the dresser in front of a light pink tablecloth"", ""mirror"": ""the framed mirror on the wall next to the white door""}",Does the black television on the dresser in front of a light pink tablecloth share the same size as the framed mirror on the wall next to the white door?
